文件名称,cplex求解结果,文献最优解,文献最优解状态,cplexGap,cplex耗时,cplex状态,
OR10x500-0.25_7.dat,119749,119827,Optimal,0.002085438989329364,100,Feasible,
OR10x500-0.25_8.dat,118223,118344,Optimal,0.0024546670833463556,100,Feasible,
OR10x500-0.25_9.dat,117723,117815,Optimal,0.002110825765759791,100,Feasible,
OR10x500-0.25_10.dat,119110,119251,Optimal,0.002583533348872932,100,Feasible,
OR10x500-0.50_1.dat,217318,217377,Optimal,9.561999388010869E-4,100,Feasible,
OR10x500-0.50_2.dat,219022,219077,Optimal,9.543277577672438E-4,100,Feasible,
OR10x500-0.50_3.dat,217755,217847,Optimal,9.561039346857225E-4,100,Feasible,
OR10x500-0.50_4.dat,216763,216868,Optimal,0.0011952887730010862,100,Feasible,
OR10x500-0.50_5.dat,213763,213873,Optimal,0.0010896899206240486,100,Feasible,
OR10x500-0.50_6.dat,214978,215086,Optimal,0.0012163034526528357,100,Feasible,
OR10x500-0.50_7.dat,217840,217940,Optimal,0.0011041575287934152,100,Feasible,
OR10x500-0.50_8.dat,219949,219990,Optimal,8.878846297289947E-4,100,Feasible,
OR10x500-0.50_9.dat,214285,214382,Optimal,0.0011446970043683905,100,Feasible,
OR10x500-0.50_10.dat,220799,220899,Optimal,0.001166961073736759,100,Feasible,
OR10x500-0.75_1.dat,304344,304387,Optimal,5.628846493945332E-4,100,Feasible,
OR10x500-0.75_2.dat,302311,302379,Optimal,7.148856431120543E-4,100,Feasible,
OR10x500-0.75_3.dat,302416,302417,Optimal,4.544996236009402E-4,100,Feasible,
OR10x500-0.75_4.dat,300715,300784,Optimal,6.829225259892405E-4,100,Feasible,
OR10x500-0.75_5.dat,304340,304374,Optimal,6.66898115758092E-4,100,Feasible,
OR10x500-0.75_6.dat,301719,301836,Optimal,6.988501419420794E-4,100,Feasible,
OR10x500-0.75_7.dat,304949,304952,Optimal,5.418928686409821E-4,100,Feasible,
OR10x500-0.75_8.dat,296441,296478,Optimal,5.754869328168142E-4,100,Feasible,
OR10x500-0.75_9.dat,301289,301359,Optimal,7.508436567968816E-4,100,Feasible,
OR10x500-0.75_10.dat,307007,307089,Optimal,7.056108681900144E-4,100,Feasible,
OR30x100-0.25_1.dat,21946,21946,Optimal,0.012839706081261514,100,Feasible,
OR30x100-0.25_2.dat,21716,21716,Optimal,0.017013483090927806,100,Feasible,
OR30x100-0.25_3.dat,20754,20754,Optimal,0.014353846312795324,100,Feasible,
OR30x100-0.25_4.dat,21464,21464,Optimal,0.01584692877806756,100,Feasible,
OR30x100-0.25_5.dat,21844,21844,Optimal,0.017601905916149206,100,Feasible,
OR30x100-0.25_6.dat,22176,22176,Optimal,0.019317292732097542,100,Feasible,
OR30x100-0.25_7.dat,21799,21799,Optimal,0.019472774552013638,100,Feasible,
OR30x100-0.25_8.dat,21397,21397,Optimal,0.018427386906289207,100,Feasible,
OR30x100-0.25_9.dat,22493,22525,Optimal,0.021597399450318543,100,Feasible,
OR30x100-0.25_10.dat,20983,20983,Optimal,0.014200211217911079,100,Feasible,
OR30x100-0.50_1.dat,40702,40767,Optimal,0.009039927848727859,100,Feasible,
OR30x100-0.50_2.dat,41304,41308,Optimal,0.008178814518009322,100,Feasible,
OR30x100-0.50_3.dat,41560,41630,Optimal,0.010153490140523013,100,Feasible,
OR30x100-0.50_4.dat,41041,41041,Optimal,0.00714060655700531,100,Feasible,
OR30x100-0.50_5.dat,40872,40889,Optimal,0.00791160340263487,100,Feasible,
OR30x100-0.50_6.dat,41058,41058,Optimal,0.005722710082032998,100,Feasible,
OR30x100-0.50_7.dat,41062,41062,Optimal,0.00712106433904255,100,Feasible,
