文件名称,算法名称,修复算子,文献最优解,文献最优解状态,算法最优解,gap,迭代次数,耗时,第k次实验
OR5x250-0.50_10.dat,BFA,RO4,107058,Optimal,106829,0.002139027,2500,14,1
OR5x250-0.50_10.dat,BFA,RO4,107058,Optimal,107038,1.87E-04,2500,15,0
OR5x250-0.50_10.dat,BFA,RO4,107058,Optimal,106759,0.002792879,2500,16,5
OR5x250-0.50_10.dat,BFA,RO4,107058,Optimal,106790,0.002503316,2500,16,4
OR5x250-0.50_10.dat,BFA,RO4,107058,Optimal,106825,0.00217639,2500,16,7
OR5x250-0.50_10.dat,BFA,RO4,107058,Optimal,106884,0.001625287,2500,18,3
OR5x500-0.75_10.dat,BFA,RO2,299910,Optimal,299146,0.002547431,5000,369,0
OR5x500-0.75_10.dat,BFA,RO2,299910,Optimal,299342,0.001893902,5000,393,1
OR5x500-0.75_10.dat,BFA,RO2,299910,Optimal,299378,0.001773865,5000,395,7
OR5x500-0.75_10.dat,BFA,RO2,299910,Optimal,299354,0.00185389,5000,400,3
OR5x500-0.75_10.dat,BFA,RO2,299910,Optimal,299380,0.001767197,5000,414,6
OR5x500-0.75_10.dat,BFA,RO2,299910,Optimal,299359,0.001837218,5000,422,4
OR5x500-0.75_10.dat,BFA,RO2,299910,Optimal,299541,0.001230369,5000,426,5
OR5x500-0.75_10.dat,BFA,RO2,299910,Optimal,299485,0.001417092,5000,439,2
OR5x500-0.75_10.dat,BFA,RO3,299910,Optimal,299481,0.001430429,5000,632,1
OR5x500-0.75_10.dat,BFA,RO3,299910,Optimal,299462,0.001493781,5000,658,0
OR5x500-0.75_10.dat,BFA,RO3,299910,Optimal,299421,0.001630489,5000,673,4
OR5x500-0.75_10.dat,BFA,RO3,299910,Optimal,299331,0.001930579,5000,679,5
OR5x500-0.75_10.dat,BFA,RO3,299910,Optimal,299520,0.00130039,5000,684,3
OR5x500-0.75_10.dat,BFA,RO3,299910,Optimal,299654,8.54E-04,5000,693,7
OR5x500-0.75_10.dat,BFA,RO3,299910,Optimal,299586,0.001080324,5000,704,2
OR5x500-0.75_10.dat,BFA,RO3,299910,Optimal,299507,0.001343736,5000,707,6
OR5x500-0.75_10.dat,BFA,RO1,299910,Optimal,299605,0.001016972,5000,206,5
OR5x500-0.75_10.dat,BFA,RO1,299910,Optimal,299659,8.37E-04,5000,207,3
OR5x500-0.75_10.dat,BFA,RO1,299910,Optimal,299518,0.001307059,5000,208,6
OR5x500-0.75_10.dat,BFA,RO1,299910,Optimal,299594,0.001053649,5000,213,4
OR5x500-0.75_10.dat,BFA,RO1,299910,Optimal,299637,9.10E-04,5000,214,2
OR5x500-0.75_10.dat,BFA,RO1,299910,Optimal,299632,9.27E-04,5000,217,0
OR5x500-0.75_10.dat,BFA,RO1,299910,Optimal,299604,0.001020306,5000,225,7
OR5x500-0.75_10.dat,BFA,RO1,299910,Optimal,299672,7.94E-04,5000,226,1
OR5x500-0.75_10.dat,BFA,RO4,299910,Optimal,299480,0.001433763,5000,138,2
OR5x500-0.75_10.dat,BFA,RO4,299910,Optimal,299452,0.001527125,5000,138,4
OR5x500-0.75_10.dat,BFA,RO4,299910,Optimal,299442,0.001560468,5000,140,3
OR5x500-0.75_10.dat,BFA,RO4,299910,Optimal,299479,0.001437098,5000,141,0
OR5x500-0.75_10.dat,BFA,RO4,299910,Optimal,299307,0.002010603,5000,145,6
OR5x500-0.75_10.dat,BFA,RO4,299910,Optimal,299523,0.001290387,5000,149,5
OR5x500-0.75_10.dat,BFA,RO4,299910,Optimal,299419,0.001637158,5000,150,1
OR5x500-0.75_10.dat,BFA,RO4,299910,Optimal,299420,0.001633823,5000,153,7
OR10x100-0.25_10.dat,BFA,RO2,22702,Optimal,22501,0.008853845,1000,14,3
OR10x100-0.25_10.dat,BFA,RO2,22702,Optimal,22508,0.008545503,1000,18,1
OR10x100-0.25_10.dat,BFA,RO2,22702,Optimal,22503,0.008765748,1000,18,6
OR10x100-0.25_10.dat,BFA,RO2,22702,Optimal,22484,0.009602678,1000,19,7
OR10x100-0.25_10.dat,BFA,RO2,22702,Optimal,22702,0,688,20,5
OR10x100-0.25_10.dat,BFA,RO2,22702,Optimal,22568,0.005902564,1000,21,0
OR10x100-0.25_10.dat,BFA,RO2,22702,Optimal,22702,0,767,23,2
OR10x100-0.25_10.dat,BFA,RO2,22702,Optimal,22702,0,978,24,4
OR10x100-0.25_10.dat,BFA,RO3,22702,Optimal,22568,0.005902564,1000,37,4
OR10x100-0.25_10.dat,BFA,RO3,22702,Optimal,22568,0.005902564,1000,45,3
OR10x100-0.25_10.dat,BFA,RO3,22702,Optimal,22508,0.008545503,1000,52,1
OR10x100-0.25_10.dat,BFA,RO3,22702,Optimal,22570,0.005814466,1000,53,6
OR10x100-0.25_10.dat,BFA,RO3,22702,Optimal,22528,0.007664523,1000,54,7
OR10x100-0.25_10.dat,BFA,RO3,22702,Optimal,22568,0.005902564,1000,59,5
OR10x100-0.25_10.dat,BFA,RO3,22702,Optimal,22568,0.005902564,1000,59,2
OR10x100-0.25_10.dat,BFA,RO3,22702,Optimal,22582,0.005285878,1000,59,0
OR10x100-0.25_10.dat,BFA,RO1,22702,Optimal,22702,0,76,1,1
OR10x100-0.25_10.dat,BFA,RO1,22702,Optimal,22478,0.009866972,1000,1,3
OR10x100-0.25_10.dat,BFA,RO1,22702,Optimal,22424,0.012245617,1000,1,5
OR10x100-0.25_10.dat,BFA,RO1,22702,Optimal,22453,0.010968197,1000,1,7
OR10x100-0.25_10.dat,BFA,RO1,22702,Optimal,22478,0.009866972,1000,1,2
OR10x100-0.25_10.dat,BFA,RO1,22702,Optimal,22478,0.009866972,1000,1,4
OR10x100-0.25_10.dat,BFA,RO1,22702,Optimal,22698,1.76E-04,1000,2,6
OR10x100-0.25_10.dat,BFA,RO1,22702,Optimal,22392,0.013655185,1000,2,0
OR10x100-0.25_10.dat,BFA,RO4,22702,Optimal,22478,0.009866972,1000,0,7
OR10x100-0.25_10.dat,BFA,RO4,22702,Optimal,22478,0.009866972,1000,0,0
OR10x100-0.25_10.dat,BFA,RO4,22702,Optimal,22698,1.76E-04,1000,1,2
OR10x100-0.25_10.dat,BFA,RO4,22702,Optimal,22478,0.009866972,1000,1,4
OR10x100-0.25_10.dat,BFA,RO4,22702,Optimal,22478,0.009866972,1000,1,5
OR10x100-0.25_10.dat,BFA,RO4,22702,Optimal,22478,0.009866972,1000,1,3
OR10x100-0.25_10.dat,BFA,RO4,22702,Optimal,22426,0.012157519,1000,1,6
OR10x100-0.25_10.dat,BFA,RO4,22702,Optimal,22497,0.009030041,1000,4,1
OR10x250-0.50_10.dat,BFA,RO2,106723,Optimal,106359,0.003410699,2500,148,1
OR10x250-0.50_10.dat,BFA,RO2,106723,Optimal,106451,0.002548654,2500,152,3
OR10x250-0.50_10.dat,BFA,RO2,106723,Optimal,106210,0.004806836,2500,152,7
OR10x250-0.50_10.dat,BFA,RO2,106723,Optimal,106096,0.005875022,2500,155,5
OR10x250-0.50_10.dat,BFA,RO2,106723,Optimal,106302,0.003944792,2500,155,4
OR10x250-0.50_10.dat,BFA,RO2,106723,Optimal,106227,0.004647546,2500,156,0
OR10x250-0.50_10.dat,BFA,RO2,106723,Optimal,106169,0.005191008,2500,157,6
OR10x250-0.50_10.dat,BFA,RO2,106723,Optimal,106402,0.003007787,2500,158,2
OR10x250-0.50_10.dat,BFA,RO3,106723,Optimal,106325,0.00372928,2500,293,2
OR10x250-0.50_10.dat,BFA,RO3,106723,Optimal,106218,0.004731876,2500,296,4
OR10x250-0.50_10.dat,BFA,RO3,106723,Optimal,106433,0.002717315,2500,315,3
OR10x250-0.50_10.dat,BFA,RO3,106723,Optimal,106387,0.003148337,2500,320,0
OR10x250-0.50_10.dat,BFA,RO3,106723,Optimal,106351,0.003485659,2500,322,7
OR10x250-0.50_10.dat,BFA,RO3,106723,Optimal,106452,0.002539284,2500,325,6
OR10x250-0.50_10.dat,BFA,RO3,106723,Optimal,106411,0.002923456,2500,332,1
OR10x250-0.50_10.dat,BFA,RO3,106723,Optimal,106540,0.001714719,2500,338,5
OR10x250-0.50_10.dat,BFA,RO1,106723,Optimal,106258,0.004357074,2500,25,1
OR10x250-0.50_10.dat,BFA,RO1,106723,Optimal,106293,0.004029122,2500,27,4
OR10x250-0.50_10.dat,BFA,RO1,106723,Optimal,106277,0.004179043,2500,28,3
OR10x250-0.50_10.dat,BFA,RO1,106723,Optimal,106416,0.002876606,2500,29,2
OR10x250-0.50_10.dat,BFA,RO1,106723,Optimal,106379,0.003223298,2500,29,0
OR10x250-0.50_10.dat,BFA,RO1,106723,Optimal,106403,0.002998416,2500,30,6
OR10x250-0.50_10.dat,BFA,RO1,106723,Optimal,106325,0.00372928,2500,32,5
OR10x250-0.50_10.dat,BFA,RO1,106723,Optimal,106502,0.002070781,2500,35,7
OR10x250-0.50_10.dat,BFA,RO4,106723,Optimal,106519,0.00191149,2500,15,3
OR10x250-0.50_10.dat,BFA,RO4,106723,Optimal,106474,0.002333143,2500,16,0
OR10x250-0.50_10.dat,BFA,RO4,106723,Optimal,106402,0.003007787,2500,16,2
OR10x250-0.50_10.dat,BFA,RO4,106723,Optimal,106414,0.002895346,2500,16,1
OR10x250-0.50_10.dat,BFA,RO4,106723,Optimal,106355,0.003448179,2500,16,7
OR10x250-0.50_10.dat,BFA,RO4,106723,Optimal,106426,0.002782905,2500,17,5
OR10x250-0.50_10.dat,BFA,RO4,106723,Optimal,106267,0.004272743,2500,17,4
OR10x250-0.50_10.dat,BFA,RO4,106723,Optimal,106330,0.00368243,2500,20,6
OR10x500-0.75_10.dat,BFA,RO2,307089,Optimal,306114,0.003174975,5000,486,6
OR10x500-0.75_10.dat,BFA,RO2,307089,Optimal,306234,0.002784209,5000,488,0
OR10x500-0.75_10.dat,BFA,RO2,307089,Optimal,306508,0.00189196,5000,496,1
OR10x500-0.75_10.dat,BFA,RO2,307089,Optimal,305786,0.00424307,5000,498,4
OR10x500-0.75_10.dat,BFA,RO2,307089,Optimal,306276,0.002647441,5000,506,7
OR10x500-0.75_10.dat,BFA,RO2,307089,Optimal,306174,0.002979592,5000,510,5
OR10x500-0.75_10.dat,BFA,RO2,307089,Optimal,306185,0.002943772,5000,519,3
OR10x500-0.75_10.dat,BFA,RO2,307089,Optimal,306109,0.003191257,5000,527,2
OR10x500-0.75_10.dat,BFA,RO3,307089,Optimal,305845,0.004050943,5000,757,6
OR10x500-0.75_10.dat,BFA,RO3,307089,Optimal,306260,0.002699543,5000,834,3
OR10x500-0.75_10.dat,BFA,RO3,307089,Optimal,306397,0.002253418,5000,869,0
OR10x500-0.75_10.dat,BFA,RO3,307089,Optimal,306186,0.002940516,5000,883,2
OR10x500-0.75_10.dat,BFA,RO3,307089,Optimal,306211,0.002859106,5000,903,4
OR10x500-0.75_10.dat,BFA,RO3,307089,Optimal,306332,0.002465083,5000,910,5
OR10x500-0.75_10.dat,BFA,RO3,307089,Optimal,306382,0.002302264,5000,924,1
OR10x500-0.75_10.dat,BFA,RO3,307089,Optimal,306317,0.002513929,5000,925,7
